,SCHNAME,latitude,longitude
79,HILLGROVE SECONDARY SCHOOL,1.3528,103.7535
80,COMPASSVALE SECONDARY SCHOOL,1.3962,103.8995
81,PEIRCE SECONDARY SCHOOL,1.3656,103.8306
82,ZHENGHUA SECONDARY SCHOOL,1.3880000000000001,103.7647
83,NORTH VISTA SECONDARY SCHOOL,1.3809,103.8995
84,ORCHID PARK SECONDARY SCHOOL,1.4149,103.8378
85,BEDOK SOUTH SECONDARY SCHOOL,1.3259999999999998,103.9504
86,BUKIT VIEW SECONDARY SCHOOL,1.3465,103.7527
87,MERIDIAN SECONDARY SCHOOL,1.3684,103.9491
88,WESTWOOD SECONDARY SCHOOL,1.3542,103.7026
89,WOODGROVE SECONDARY SCHOOL,1.4289,103.7958
90,KENT RIDGE SECONDARY SCHOOL,1.3015,103.7658
91,MONTFORT SECONDARY SCHOOL,1.3749,103.8884
92,GREENDALE SECONDARY SCHOOL,1.3966,103.9114
93,JURONGVILLE SECONDARY SCHOOL,1.3512,103.7299
94,CHRIST CHURCH SECONDARY SCHOOL,1.426,103.7931
95,YISHUN SECONDARY SCHOOL,1.4272,103.8295
96,NEW TOWN SECONDARY SCHOOL,1.3090000000000002,103.7734
97,TAMPINES SECONDARY SCHOOL,1.3489,103.9454
98,GREENRIDGE SECONDARY SCHOOL,1.3823,103.773
99,JURONG WEST SECONDARY SCHOOL,1.3359999999999999,103.7016
100,CANBERRA SECONDARY SCHOOL,1.4535,103.8153
101,JUYING SECONDARY SCHOOL,1.3396,103.6875
102,SENG KANG SECONDARY SCHOOL,1.3871,103.898
103,ADMIRALTY SECONDARY SCHOOL,1.4467,103.803
104,NAVAL BASE SECONDARY SCHOOL,1.4187,103.8313
105,TECK WHYE SECONDARY SCHOOL,1.3835,103.7548
106,REGENT SECONDARY SCHOOL,1.3925,103.75
107,HOUGANG SECONDARY SCHOOL,1.3779,103.8816
108,BUKIT MERAH SECONDARY SCHOOL,1.2867,103.8135
109,GUANGYANG SECONDARY SCHOOL,1.3453,103.8508
110,OUTRAM SECONDARY SCHOOL,1.2863,103.8377
111,SERANGOON GARDEN SECONDARY SCHOOL,1.37,103.8696
112,SPRINGFIELD SECONDARY SCHOOL,1.3494,103.9295
113,ASSUMPTION ENGLISH SCHOOL,1.3692,103.7647
114,BARTLEY SECONDARY SCHOOL,1.3395,103.883
115,BEDOK GREEN SECONDARY SCHOOL,1.3346,103.9337
116,BENDEMEER SECONDARY SCHOOL,1.3245,103.8615
117,BOON LAY SECONDARY SCHOOL,1.3437,103.7022
118,BROADRICK SECONDARY SCHOOL,1.3068,103.887
119,CHANGKAT CHANGI SECONDARY SCHOOL,1.341,103.9522
120,DAMAI SECONDARY SCHOOL,1.3372,103.9275
121,DUNEARN SECONDARY SCHOOL,1.3637,103.7454
122,EAST SPRING SECONDARY SCHOOL,1.3558,103.9603
123,EAST VIEW SECONDARY SCHOOL,1.3582,103.9502
124,FAJAR SECONDARY SCHOOL,1.3751,103.7648
125,FUCHUN SECONDARY SCHOOL,1.43,103.777
126,HONG KAH SECONDARY SCHOOL,1.3518,103.7262
127,JUNYUAN SECONDARY SCHOOL,1.3525,103.9332
128,LOYANG VIEW SECONDARY SCHOOL,1.3673,103.9565
129,MANJUSRI SECONDARY SCHOOL,1.327,103.9014
130,MARSILING SECONDARY SCHOOL,1.4373,103.7775
131,NORTHBROOKS SECONDARY SCHOOL,1.4222,103.8448
132,NORTHLAND SECONDARY SCHOOL,1.4358,103.8398
133,PEICAI SECONDARY SCHOOL,1.3574,103.8705
134,PING YI SECONDARY SCHOOL,1.328,103.9202
135,PUNGGOL SECONDARY SCHOOL,1.4031,103.9096
136,QUEENSTOWN SECONDARY SCHOOL,1.2932,103.8134
137,SEMBAWANG SECONDARY SCHOOL,1.445,103.8162
138,SERANGOON SECONDARY SCHOOL,1.374,103.9017
139,SHUQUN SECONDARY SCHOOL,1.3395,103.7403
140,TANGLIN SECONDARY SCHOOL,1.3086,103.7579
141,WHITLEY SECONDARY SCHOOL,1.3559,103.8432
142,WOODLANDS SECONDARY SCHOOL,1.4395,103.7749
143,YIO CHU KANG SECONDARY SCHOOL,1.3773,103.8421
144,YUHUA SECONDARY SCHOOL,1.3477,103.7232
145,YUSOF ISHAK SECONDARY SCHOOL,1.3429,103.7609
146,YUYING SECONDARY SCHOOL,1.3571,103.8898
147,ASSUMPTION PATHWAY SCHOOL,1.3709,103.7665
148,CREST SECONDARY SCHOOL,1.3426,103.7427
149,NORTHLIGHT SCHOOL,1.3100463,103.82939809999999
150,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1.3076,103.7693
151,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1.3130000000000002,103.7746
152,"SCHOOL OF THE ARTS, SINGAPORE",1.2994,103.8485
153,SINGAPORE SPORTS SCHOOL,1.4269,103.7896
154,SPECTRA SECONDARY SCHOOL,1.4357,103.8044
